1931,13,19,21,27,31
1930,4,13,14,15,17
1929,2,5,18,22,35
1928,11,16,17,21,28
1927,3,12,14,18,22
1926,6,11,22,23,29
1925,4,7,8,15,18
1924,2,16,21,31,33
1923,7,12,15,32,34
1922,5,6,21,27,36
1921,6,9,27,28,35
1920,8,10,13,18,34
1919,2,6,7,17,21
1918,4,6,13,23,34
1917,6,16,20,25,30
1916,7,21,26,31,36
1915,6,17,18,21,30
1914,10,14,17,31,33
1913,14,18,22,28,31
1912,11,16,18,28,33
1911,8,9,11,22,23
1910,5,7,21,29,31
1909,4,18,30,32,34
1908,4,9,25,30,33
1907,7,18,21,22,33
1906,7,10,19,23,36
1905,8,27,30,33,35
1904,11,18,22,27,29
1903,6,22,23,30,33
1902,4,25,28,29,34
1901,3,14,22,32,34
1900,2,3,25,35,36
1899,3,11,16,28,33
1898,7,11,14,24,36
1897,3,4,7,13,25
1896,3,7,14,23,36
1895,12,18,26,34,35
1894,7,24,30,34,36
1893,13,14,22,26,36
1892,2,27,28,30,36
1891,2,12,16,21,23
1890,1,6,9,16,25
1889,3,6,23,28,30
1888,3,12,14,20,26
1887,13,16,29,31,36
1886,8,9,21,31,34
1885,7,9,13,18,19
1884,2,11,12,26,28
1883,2,17,19,26,34
1882,10,13,18,21,31
1881,21,23,28,32,34
1880,23,24,26,27,29
1879,2,10,17,26,32
1878,2,6,18,20,33
1877,10,18,24,28,32
1876,7,9,23,24,34
1875,4,7,13,32,35
1874,2,26,28,32,36
1873,3,16,28,33,34
